"agelow","agehigh","emot1-value","emot1-cofindence","emot2-value","emot2-cofindence","gender","gender-cofindence","smile","smile-cofindence","eyeglasses","eyeglasses-cofindence","beard","beard-cofindence","mustache","mustache-cofindence","uploadtime"
"4","14","CALM","64.94779","SAD","29.005465","Male","95.249084","false","96.95456","true","99.54999","false","90.060302734375","false","97.87543","2021-11-28 19:03:27.269"
"13","25","SAD","88.5535","CALM","9.063671","Female","96.937004","false","90.80667","false","99.469795","false","96.4862060546875","false","99.38904","2021-11-28 14:19:50.685"
"33","49","HAPPY","91.39181","SAD","3.3672087","Female","83.62045","true","68.05812","false","99.93414","false","96.67984008789062","false","99.60192","2021-11-28 14:29:30.126"
"16","28","HAPPY","98.2151","CALM","1.3845206","Male","98.78841","true","92.79773","true","99.64893","false","90.75786590576172","false","98.96586","2021-11-30 17:54:25.597"
"22","34","CALM","53.619713","SURPRISED","40.07354","Male","87.87503","false","96.78249","false","73.7754","false","83.15430450439453","false","97.5646","2021-11-30 14:32:11.684"
"12","22","HAPPY","76.22927","CALM","13.784043","Male","63.288338","false","53.71545","false","94.52536","false","85.57032775878906","false","97.49219","2021-11-28 14:17:37.323"
"16","28","CALM","98.03121","HAPPY","0.84941435","Male","98.0597","false","97.449455","true","99.13755","false","98.48505401611328","false","99.66692","2021-11-28 14:16:01.839"
"3","9","CALM","79.73925","SAD","19.009073","Male","65.00792","false","98.67969","false","93.64574","false","85.6512451171875","false","97.27843","2021-11-28 14:17:16.587"
"48","54","CALM","97.72809","SURPRISED","6.2755594","Male","99.97181","false","94.53432","false","97.52632","false","92.52120208740234","false","97.97567","2022-05-13 13:55:18.690"
"17","29","CALM","70.6644","SAD","15.383753","Male","88.52399","false","95.768105","false","93.87538","false","81.04430389404297","false","97.32301","2021-11-28 14:17:37.323"
"23","33","CALM","86.23226","SAD","6.618407","Female","99.170944","false","90.34338","false","93.001465","false","85.73994445800781","false","94.60516","2022-04-15 13:47:51.485"
